epoch,model,seq_len,pred_len,data,batch_size,train_loss,vali_loss,test_loss,time_cost,learning_rate,date
92,MyLinearModels,336,24,ETTh1,16,0.24361,0.41678,0.3219,7.92,0.0,2025-04-22 14:00:39
93,MyLinearModels,336,24,ETTh1,16,0.24354,0.41771,0.3219,8.24,0.0,2025-04-22 14:00:47
94,MyLinearModels,336,24,ETTh1,16,0.2436,0.41745,0.3219,8.24,0.0,2025-04-22 14:00:55
95,MyLinearModels,336,24,ETTh1,16,0.24364,0.41752,0.3219,8.11,0.0,2025-04-22 14:01:04
96,MyLinearModels,336,24,ETTh1,16,0.24371,0.41767,0.3219,8.45,0.0,2025-04-22 14:01:12
97,MyLinearModels,336,24,ETTh1,16,0.24372,0.41682,0.3219,8.03,0.0,2025-04-22 14:01:20
98,MyLinearModels,336,24,ETTh1,16,0.2437,0.41714,0.3219,7.97,0.0,2025-04-22 14:01:28
99,MyLinearModels,336,24,ETTh1,16,0.24367,0.41749,0.3219,8.56,0.0,2025-04-22 14:01:37
100,MyLinearModels,336,24,ETTh1,16,0.24372,0.41664,0.3219,8.3,0.0,2025-04-22 14:01:45
101,MyLinearModels,336,24,ETTh1,16,0.24375,0.41758,0.3219,8.28,0.0,2025-04-22 14:01:53
102,MyLinearModels,336,24,ETTh1,16,0.24372,0.41678,0.3219,8.04,0.0,2025-04-22 14:02:01
103,MyLinearModels,336,24,ETTh1,16,0.24375,0.41773,0.3219,7.97,0.0,2025-04-22 14:02:09
104,MyLinearModels,336,24,ETTh1,16,0.24375,0.41746,0.3219,8.1,0.0,2025-04-22 14:02:17
105,MyLinearModels,336,24,ETTh1,16,0.24366,0.41665,0.3219,8.1,0.0,2025-04-22 14:02:25
106,MyLinearModels,336,24,ETTh1,16,0.24373,0.41735,0.3219,8.49,0.0,2025-04-22 14:02:34
107,MyLinearModels,336,24,ETTh1,16,0.24373,0.41726,0.3219,8.29,0.0,2025-04-22 14:02:42
108,MyLinearModels,336,24,ETTh1,16,0.2437,0.41759,0.3219,8.01,0.0,2025-04-22 14:02:50
109,MyLinearModels,336,24,ETTh1,16,0.24358,0.41678,0.3219,8.16,0.0,2025-04-22 14:02:58
110,MyLinearModels,336,24,ETTh1,16,0.24362,0.41716,0.3219,8.29,0.0,2025-04-22 14:03:07
111,MyLinearModels,336,24,ETTh1,16,0.2437,0.41694,0.3219,8.21,0.0,2025-04-22 14:03:15
112,MyLinearModels,336,24,ETTh1,16,0.24362,0.41736,0.3219,7.97,0.0,2025-04-22 14:03:23
113,MyLinearModels,336,24,ETTh1,16,0.24366,0.4175,0.3219,8.06,0.0,2025-04-22 14:03:31
114,MyLinearModels,336,24,ETTh1,16,0.24361,0.41733,0.3219,8.2,0.0,2025-04-22 14:03:39
115,MyLinearModels,336,24,ETTh1,16,0.24367,0.41736,0.3219,8.23,0.0,2025-04-22 14:03:47
116,MyLinearModels,336,24,ETTh1,16,0.24368,0.41732,0.3219,8.02,0.0,2025-04-22 14:03:55
117,MyLinearModels,336,24,ETTh1,16,0.24361,0.41795,0.3219,7.95,0.0,2025-04-22 14:04:03
118,MyLinearModels,336,24,ETTh1,16,0.24368,0.4176,0.3219,7.84,0.0,2025-04-22 14:04:11
119,MyLinearModels,336,24,ETTh1,16,0.24362,0.41738,0.3219,7.83,0.0,2025-04-22 14:04:19
120,MyLinearModels,336,24,ETTh1,16,0.24364,0.41775,0.3219,8.05,0.0,2025-04-22 14:04:27
121,MyLinearModels,336,24,ETTh1,16,0.24369,0.41693,0.3219,7.89,0.0,2025-04-22 14:04:35
122,MyLinearModels,336,24,ETTh1,16,0.24369,0.41749,0.3219,8.07,0.0,2025-04-22 14:04:43
123,MyLinearModels,336,24,ETTh1,16,0.24368,0.41599,0.3219,8.26,0.0,2025-04-22 14:04:51
124,MyLinearModels,336,24,ETTh1,16,0.24362,0.41749,0.3219,8.3,0.0,2025-04-22 14:04:59
125,MyLinearModels,336,24,ETTh1,16,0.24371,0.41739,0.3219,8.36,0.0,2025-04-22 14:05:08
126,MyLinearModels,336,24,ETTh1,16,0.24365,0.41754,0.3219,8.29,0.0,2025-04-22 14:05:16
127,MyLinearModels,336,24,ETTh1,16,0.24368,0.4174,0.3219,8.29,0.0,2025-04-22 14:05:24
128,MyLinearModels,336,24,ETTh1,16,0.24362,0.41818,0.3219,8.09,0.0,2025-04-22 14:05:33
129,MyLinearModels,336,24,ETTh1,16,0.24362,0.41794,0.3219,8.0,0.0,2025-04-22 14:05:40
130,MyLinearModels,336,24,ETTh1,16,0.24365,0.41741,0.3219,7.96,0.0,2025-04-22 14:05:48
131,MyLinearModels,336,24,ETTh1,16,0.24366,0.41636,0.3219,7.95,0.0,2025-04-22 14:05:56
132,MyLinearModels,336,24,ETTh1,16,0.24376,0.41745,0.3219,7.93,0.0,2025-04-22 14:06:04
133,MyLinearModels,336,24,ETTh1,16,0.24371,0.41776,0.3219,8.15,0.0,2025-04-22 14:06:12
134,MyLinearModels,336,24,ETTh1,16,0.24371,0.41762,0.3219,8.03,0.0,2025-04-22 14:06:21
135,MyLinearModels,336,24,ETTh1,16,0.24362,0.41698,0.3219,7.88,0.0,2025-04-22 14:06:28
136,MyLinearModels,336,24,ETTh1,16,0.24368,0.41787,0.3219,8.0,0.0,2025-04-22 14:06:36
137,MyLinearModels,336,24,ETTh1,16,0.2437,0.41737,0.3219,8.24,0.0,2025-04-22 14:06:45
138,MyLinearModels,336,24,ETTh1,16,0.2437,0.41744,0.3219,8.08,0.0,2025-04-22 14:06:53
139,MyLinearModels,336,24,ETTh1,16,0.24366,0.41663,0.3219,8.1,0.0,2025-04-22 14:07:01
140,MyLinearModels,336,24,ETTh1,16,0.2437,0.41642,0.3219,8.3,0.0,2025-04-22 14:07:09
141,MyLinearModels,336,24,ETTh1,16,0.24376,0.4163,0.3219,8.37,0.0,2025-04-22 14:07:17
142,MyLinearModels,336,24,ETTh1,16,0.2436,0.41754,0.3219,8.23,0.0,2025-04-22 14:07:26
143,MyLinearModels,336,24,ETTh1,16,0.24362,0.41722,0.3219,8.11,0.0,2025-04-22 14:07:34
144,MyLinearModels,336,24,ETTh1,16,0.24369,0.41752,0.3219,8.42,0.0,2025-04-22 14:07:42
145,MyLinearModels,336,24,ETTh1,16,0.24362,0.41726,0.3219,8.43,0.0,2025-04-22 14:07:51
146,MyLinearModels,336,24,ETTh1,16,0.24365,0.41699,0.3219,8.53,0.0,2025-04-22 14:07:59
147,MyLinearModels,336,24,ETTh1,16,0.24372,0.41783,0.3219,8.02,0.0,2025-04-22 14:08:07
148,MyLinearModels,336,24,ETTh1,16,0.24366,0.41777,0.3219,8.08,0.0,2025-04-22 14:08:15
149,MyLinearModels,336,24,ETTh1,16,0.24364,0.41746,0.3219,8.0,0.0,2025-04-22 14:08:23
150,MyLinearModels,336,24,ETTh1,16,0.24369,0.41709,0.3219,8.17,0.0,2025-04-22 14:08:31
151,MyLinearModels,336,24,ETTh1,16,0.2436,0.41747,0.3219,8.25,0.0,2025-04-22 14:08:40
152,MyLinearModels,336,24,ETTh1,16,0.24375,0.41687,0.3219,8.23,0.0,2025-04-22 14:08:48
153,MyLinearModels,336,24,ETTh1,16,0.2437,0.41688,0.3219,8.2,0.0,2025-04-22 14:08:56
154,MyLinearModels,336,24,ETTh1,16,0.2435,0.41717,0.3219,8.05,0.0,2025-04-22 14:09:04
155,MyLinearModels,336,24,ETTh1,16,0.24375,0.41759,0.3219,8.2,0.0,2025-04-22 14:09:12
156,MyLinearModels,336,24,ETTh1,16,0.24368,0.41786,0.3219,8.3,0.0,2025-04-22 14:09:21
157,MyLinearModels,336,24,ETTh1,16,0.24366,0.41728,0.3219,8.27,0.0,2025-04-22 14:09:29
158,MyLinearModels,336,24,ETTh1,16,0.24364,0.41703,0.3219,7.92,0.0,2025-04-22 14:09:37
159,MyLinearModels,336,24,ETTh1,16,0.24353,0.41631,0.3219,8.27,0.0,2025-04-22 14:09:45
160,MyLinearModels,336,24,ETTh1,16,0.24377,0.41777,0.3219,8.28,0.0,2025-04-22 14:09:53
161,MyLinearModels,336,24,ETTh1,16,0.24371,0.41814,0.3219,7.98,0.0,2025-04-22 14:10:01
162,MyLinearModels,336,24,ETTh1,16,0.24369,0.41702,0.3219,7.92,0.0,2025-04-22 14:10:09
163,MyLinearModels,336,24,ETTh1,16,0.24367,0.41695,0.3219,8.05,0.0,2025-04-22 14:10:17
164,MyLinearModels,336,24,ETTh1,16,0.24348,0.41759,0.3219,8.27,0.0,2025-04-22 14:10:26
165,MyLinearModels,336,24,ETTh1,16,0.24376,0.4173,0.3219,8.11,0.0,2025-04-22 14:10:34
166,MyLinearModels,336,24,ETTh1,16,0.24358,0.41761,0.3219,7.92,0.0,2025-04-22 14:10:42
167,MyLinearModels,336,24,ETTh1,16,0.24365,0.4178,0.3219,8.05,0.0,2025-04-22 14:10:50
168,MyLinearModels,336,24,ETTh1,16,0.24361,0.41749,0.3219,8.59,0.0,2025-04-22 14:10:58
169,MyLinearModels,336,24,ETTh1,16,0.24372,0.41737,0.3219,8.05,0.0,2025-04-22 14:11:06
170,MyLinearModels,336,24,ETTh1,16,0.24361,0.41683,0.3219,8.07,0.0,2025-04-22 14:11:14
171,MyLinearModels,336,24,ETTh1,16,0.24363,0.41773,0.3219,7.88,0.0,2025-04-22 14:11:22
172,MyLinearModels,336,24,ETTh1,16,0.24369,0.41732,0.3219,8.49,0.0,2025-04-22 14:11:31
173,MyLinearModels,336,24,ETTh1,16,0.24365,0.4179,0.3219,8.33,0.0,2025-04-22 14:11:39
174,MyLinearModels,336,24,ETTh1,16,0.24369,0.41643,0.3219,8.26,0.0,2025-04-22 14:11:47
175,MyLinearModels,336,24,ETTh1,16,0.24369,0.41663,0.3219,8.36,0.0,2025-04-22 14:11:56
176,MyLinearModels,336,24,ETTh1,16,0.24368,0.41786,0.3219,8.38,0.0,2025-04-22 14:12:04
177,MyLinearModels,336,24,ETTh1,16,0.24361,0.41785,0.3219,8.13,0.0,2025-04-22 14:12:12
178,MyLinearModels,336,24,ETTh1,16,0.24358,0.41737,0.3219,8.08,0.0,2025-04-22 14:12:20
179,MyLinearModels,336,24,ETTh1,16,0.24355,0.41707,0.3219,8.05,0.0,2025-04-22 14:12:28
180,MyLinearModels,336,24,ETTh1,16,0.24355,0.41747,0.3219,8.01,0.0,2025-04-22 14:12:36
181,MyLinearModels,336,24,ETTh1,16,0.24369,0.41692,0.3219,7.97,0.0,2025-04-22 14:12:44
182,MyLinearModels,336,24,ETTh1,16,0.24373,0.41749,0.3219,8.21,0.0,2025-04-22 14:12:53
183,MyLinearModels,336,24,ETTh1,16,0.24367,0.41747,0.3219,8.47,0.0,2025-04-22 14:13:01
184,MyLinearModels,336,24,ETTh1,16,0.24364,0.41762,0.3219,8.22,0.0,2025-04-22 14:13:09
185,MyLinearModels,336,24,ETTh1,16,0.2437,0.41778,0.3219,8.18,0.0,2025-04-22 14:13:17
186,MyLinearModels,336,24,ETTh1,16,0.24366,0.41791,0.3219,8.15,0.0,2025-04-22 14:13:26
187,MyLinearModels,336,24,ETTh1,16,0.24364,0.41777,0.3219,8.19,0.0,2025-04-22 14:13:34
188,MyLinearModels,336,24,ETTh1,16,0.24361,0.41765,0.3219,8.13,0.0,2025-04-22 14:13:42
189,MyLinearModels,336,24,ETTh1,16,0.2436,0.41677,0.3219,8.37,0.0,2025-04-22 14:13:50
190,MyLinearModels,336,24,ETTh1,16,0.24365,0.41762,0.3219,8.38,0.0,2025-04-22 14:13:59
191,MyLinearModels,336,24,ETTh1,16,0.24372,0.41705,0.3219,7.89,0.0,2025-04-22 14:14:07
192,MyLinearModels,336,24,ETTh1,16,0.24373,0.41752,0.3219,8.21,0.0,2025-04-22 14:14:15
193,MyLinearModels,336,24,ETTh1,16,0.2437,0.41719,0.3219,8.34,0.0,2025-04-22 14:14:23
194,MyLinearModels,336,24,ETTh1,16,0.2437,0.41755,0.3219,8.15,0.0,2025-04-22 14:14:31
195,MyLinearModels,336,24,ETTh1,16,0.24361,0.41646,0.3219,8.04,0.0,2025-04-22 14:14:39
196,MyLinearModels,336,24,ETTh1,16,0.24356,0.41769,0.3219,8.35,0.0,2025-04-22 14:14:48
197,MyLinearModels,336,24,ETTh1,16,0.24367,0.41745,0.3219,8.29,0.0,2025-04-22 14:14:56
198,MyLinearModels,336,24,ETTh1,16,0.24368,0.41695,0.3219,8.14,0.0,2025-04-22 14:15:04
199,MyLinearModels,336,24,ETTh1,16,0.24365,0.4169,0.3219,8.3,0.0,2025-04-22 14:15:12
200,MyLinearModels,336,24,ETTh1,16,0.24365,0.41756,0.3219,8.15,0.0,2025-04-22 14:15:21
201,MyLinearModels,336,24,ETTh1,16,0.24367,0.41681,0.3219,8.15,0.0,2025-04-22 14:15:29
202,MyLinearModels,336,24,ETTh1,16,0.24376,0.41714,0.3219,8.4,0.0,2025-04-22 14:15:37
203,MyLinearModels,336,24,ETTh1,16,0.2437,0.41697,0.3219,8.44,0.0,2025-04-22 14:15:46
204,MyLinearModels,336,24,ETTh1,16,0.2437,0.41721,0.3219,8.04,0.0,2025-04-22 14:15:54
205,MyLinearModels,336,24,ETTh1,16,0.24363,0.41759,0.3219,7.88,0.0,2025-04-22 14:16:01
206,MyLinearModels,336,24,ETTh1,16,0.24364,0.41725,0.3219,8.45,0.0,2025-04-22 14:16:10
207,MyLinearModels,336,24,ETTh1,16,0.24373,0.41791,0.3219,8.26,0.0,2025-04-22 14:16:18
208,MyLinearModels,336,24,ETTh1,16,0.24353,0.41749,0.3219,8.26,0.0,2025-04-22 14:16:26
209,MyLinearModels,336,24,ETTh1,16,0.24363,0.41578,0.3219,8.49,0.0,2025-04-22 14:16:35
210,MyLinearModels,336,24,ETTh1,16,0.24367,0.41755,0.3219,8.17,0.0,2025-04-22 14:16:43
211,MyLinearModels,336,24,ETTh1,16,0.24366,0.41753,0.3219,8.31,0.0,2025-04-22 14:16:51
212,MyLinearModels,336,24,ETTh1,16,0.2437,0.41777,0.3219,8.6,0.0,2025-04-22 14:17:00
213,MyLinearModels,336,24,ETTh1,16,0.24364,0.41755,0.3219,8.38,0.0,2025-04-22 14:17:08
214,MyLinearModels,336,24,ETTh1,16,0.24365,0.41718,0.3219,8.41,0.0,2025-04-22 14:17:17
215,MyLinearModels,336,24,ETTh1,16,0.24358,0.41652,0.3219,7.99,0.0,2025-04-22 14:17:25
216,MyLinearModels,336,24,ETTh1,16,0.24373,0.41714,0.3219,8.05,0.0,2025-04-22 14:17:33
217,MyLinearModels,336,24,ETTh1,16,0.24361,0.41716,0.3219,7.96,0.0,2025-04-22 14:17:41
218,MyLinearModels,336,24,ETTh1,16,0.24368,0.41762,0.3219,8.15,0.0,2025-04-22 14:17:49
219,MyLinearModels,336,24,ETTh1,16,0.24366,0.41762,0.3219,8.46,0.0,2025-04-22 14:17:57
220,MyLinearModels,336,24,ETTh1,16,0.24371,0.41722,0.3219,8.41,0.0,2025-04-22 14:18:06
221,MyLinearModels,336,24,ETTh1,16,0.24366,0.41755,0.3219,8.1,0.0,2025-04-22 14:18:14
222,MyLinearModels,336,24,ETTh1,16,0.24367,0.4168,0.3219,8.08,0.0,2025-04-22 14:18:22
223,MyLinearModels,336,24,ETTh1,16,0.2437,0.41725,0.3219,8.08,0.0,2025-04-22 14:18:30
224,MyLinearModels,336,24,ETTh1,16,0.24366,0.41694,0.3219,7.93,0.0,2025-04-22 14:18:38
225,MyLinearModels,336,24,ETTh1,16,0.24371,0.41734,0.3219,8.3,0.0,2025-04-22 14:18:46
226,MyLinearModels,336,24,ETTh1,16,0.24368,0.41756,0.3219,8.36,0.0,2025-04-22 14:18:55
227,MyLinearModels,336,24,ETTh1,16,0.24372,0.41724,0.3219,8.14,0.0,2025-04-22 14:19:03
228,MyLinearModels,336,24,ETTh1,16,0.24375,0.41765,0.3219,8.05,0.0,2025-04-22 14:19:11
229,MyLinearModels,336,24,ETTh1,16,0.24368,0.41751,0.3219,7.96,0.0,2025-04-22 14:19:19
230,MyLinearModels,336,24,ETTh1,16,0.24369,0.41781,0.3219,7.91,0.0,2025-04-22 14:19:27
231,MyLinearModels,336,24,ETTh1,16,0.24372,0.41766,0.3219,8.16,0.0,2025-04-22 14:19:35
232,MyLinearModels,336,24,ETTh1,16,0.24372,0.41719,0.3219,7.9,0.0,2025-04-22 14:19:43
233,MyLinearModels,336,24,ETTh1,16,0.24375,0.4179,0.3219,8.11,0.0,2025-04-22 14:19:51
234,MyLinearModels,336,24,ETTh1,16,0.24368,0.41751,0.3219,8.16,0.0,2025-04-22 14:19:59
235,MyLinearModels,336,24,ETTh1,16,0.24371,0.418,0.3219,8.1,0.0,2025-04-22 14:20:07
236,MyLinearModels,336,24,ETTh1,16,0.24367,0.41599,0.3219,7.96,0.0,2025-04-22 14:20:15
237,MyLinearModels,336,24,ETTh1,16,0.24373,0.41741,0.3219,8.0,0.0,2025-04-22 14:20:23
238,MyLinearModels,336,24,ETTh1,16,0.24366,0.41767,0.3219,8.09,0.0,2025-04-22 14:20:31
