epoch,model,seq_len,pred_len,data,batch_size,train_loss,vali_loss,test_loss,time_cost,learning_rate,date
96,GLinear,336,24,ETTh1,16,0.1902,0.42928,0.31399,8.71,0.0,2025-04-19 13:55:45
97,GLinear,336,24,ETTh1,16,0.19029,0.42966,0.31399,8.72,0.0,2025-04-19 13:55:53
98,GLinear,336,24,ETTh1,16,0.19029,0.4296,0.31399,8.84,0.0,2025-04-19 13:56:02
99,GLinear,336,24,ETTh1,16,0.19028,0.42839,0.31399,8.74,0.0,2025-04-19 13:56:11
100,GLinear,336,24,ETTh1,16,0.19022,0.42936,0.31399,8.52,0.0,2025-04-19 13:56:20
101,GLinear,336,24,ETTh1,16,0.19032,0.42868,0.31399,8.74,0.0,2025-04-19 13:56:28
102,GLinear,336,24,ETTh1,16,0.19033,0.42852,0.31399,8.66,0.0,2025-04-19 13:56:37
103,GLinear,336,24,ETTh1,16,0.19032,0.42947,0.31399,8.98,0.0,2025-04-19 13:56:46
104,GLinear,336,24,ETTh1,16,0.1903,0.42896,0.31399,8.6,0.0,2025-04-19 13:56:55
105,GLinear,336,24,ETTh1,16,0.1903,0.42805,0.31399,8.86,0.0,2025-04-19 13:57:03
106,GLinear,336,24,ETTh1,16,0.1903,0.42899,0.31399,8.72,0.0,2025-04-19 13:57:12
107,GLinear,336,24,ETTh1,16,0.19031,0.42891,0.31399,8.64,0.0,2025-04-19 13:57:21
108,GLinear,336,24,ETTh1,16,0.19033,0.42886,0.31399,8.69,0.0,2025-04-19 13:57:29
109,GLinear,336,24,ETTh1,16,0.19031,0.42803,0.31399,8.7,0.0,2025-04-19 13:57:38
110,GLinear,336,24,ETTh1,16,0.19025,0.42925,0.31399,8.67,0.0,2025-04-19 13:57:47
111,GLinear,336,24,ETTh1,16,0.1903,0.42957,0.31399,8.63,0.0,2025-04-19 13:57:55
112,GLinear,336,24,ETTh1,16,0.1903,0.42969,0.31399,8.65,0.0,2025-04-19 13:58:04
113,GLinear,336,24,ETTh1,16,0.19026,0.42881,0.31399,8.84,0.0,2025-04-19 13:58:13
114,GLinear,336,24,ETTh1,16,0.19026,0.42844,0.31399,8.77,0.0,2025-04-19 13:58:22
115,GLinear,336,24,ETTh1,16,0.19033,0.42949,0.31399,8.94,0.0,2025-04-19 13:58:31
116,GLinear,336,24,ETTh1,16,0.19031,0.42944,0.31399,9.28,0.0,2025-04-19 13:58:40
117,GLinear,336,24,ETTh1,16,0.19026,0.42892,0.31399,8.49,0.0,2025-04-19 13:58:48
118,GLinear,336,24,ETTh1,16,0.19028,0.42936,0.31399,8.89,0.0,2025-04-19 13:58:57
119,GLinear,336,24,ETTh1,16,0.19024,0.42929,0.31399,8.97,0.0,2025-04-19 13:59:06
120,GLinear,336,24,ETTh1,16,0.19017,0.42858,0.31399,8.76,0.0,2025-04-19 13:59:15
121,GLinear,336,24,ETTh1,16,0.19029,0.42871,0.31399,9.03,0.0,2025-04-19 13:59:24
122,GLinear,336,24,ETTh1,16,0.19027,0.42959,0.31399,8.86,0.0,2025-04-19 13:59:33
123,GLinear,336,24,ETTh1,16,0.19027,0.42908,0.31399,8.71,0.0,2025-04-19 13:59:42
124,GLinear,336,24,ETTh1,16,0.19026,0.42772,0.31399,8.8,0.0,2025-04-19 13:59:50
125,GLinear,336,24,ETTh1,16,0.1902,0.42886,0.31399,8.62,0.0,2025-04-19 13:59:59
126,GLinear,336,24,ETTh1,16,0.19022,0.4291,0.31399,8.63,0.0,2025-04-19 14:00:08
127,GLinear,336,24,ETTh1,16,0.19029,0.42914,0.31399,8.86,0.0,2025-04-19 14:00:17
128,GLinear,336,24,ETTh1,16,0.19013,0.4288,0.31399,8.87,0.0,2025-04-19 14:00:25
129,GLinear,336,24,ETTh1,16,0.19027,0.42873,0.31399,8.82,0.0,2025-04-19 14:00:34
130,GLinear,336,24,ETTh1,16,0.19028,0.42906,0.31399,8.78,0.0,2025-04-19 14:00:43
131,GLinear,336,24,ETTh1,16,0.19034,0.42952,0.31399,8.78,0.0,2025-04-19 14:00:52
132,GLinear,336,24,ETTh1,16,0.19027,0.42856,0.31399,8.84,0.0,2025-04-19 14:01:01
133,GLinear,336,24,ETTh1,16,0.19027,0.4295,0.31399,9.0,0.0,2025-04-19 14:01:10
134,GLinear,336,24,ETTh1,16,0.19026,0.42947,0.31399,8.89,0.0,2025-04-19 14:01:19
135,GLinear,336,24,ETTh1,16,0.19027,0.42897,0.31399,8.97,0.0,2025-04-19 14:01:27
136,GLinear,336,24,ETTh1,16,0.19029,0.42932,0.31399,8.85,0.0,2025-04-19 14:01:36
137,GLinear,336,24,ETTh1,16,0.19025,0.42855,0.31399,8.74,0.0,2025-04-19 14:01:45
138,GLinear,336,24,ETTh1,16,0.19031,0.42943,0.31399,8.75,0.0,2025-04-19 14:01:54
139,GLinear,336,24,ETTh1,16,0.1903,0.42917,0.31399,8.88,0.0,2025-04-19 14:02:03
140,GLinear,336,24,ETTh1,16,0.1903,0.4295,0.31399,8.73,0.0,2025-04-19 14:02:11
141,GLinear,336,24,ETTh1,16,0.19026,0.42938,0.31399,8.76,0.0,2025-04-19 14:02:20
142,GLinear,336,24,ETTh1,16,0.19025,0.42968,0.31399,8.72,0.0,2025-04-19 14:02:29
143,GLinear,336,24,ETTh1,16,0.19024,0.42922,0.31399,8.82,0.0,2025-04-19 14:02:38
144,GLinear,336,24,ETTh1,16,0.19014,0.42921,0.31399,8.82,0.0,2025-04-19 14:02:47
145,GLinear,336,24,ETTh1,16,0.19027,0.42947,0.31399,8.7,0.0,2025-04-19 14:02:55
146,GLinear,336,24,ETTh1,16,0.19028,0.42907,0.31399,8.78,0.0,2025-04-19 14:03:04
147,GLinear,336,24,ETTh1,16,0.19028,0.42865,0.31399,8.89,0.0,2025-04-19 14:03:13
148,GLinear,336,24,ETTh1,16,0.19029,0.42978,0.31399,8.81,0.0,2025-04-19 14:03:22
149,GLinear,336,24,ETTh1,16,0.19028,0.42933,0.31399,8.96,0.0,2025-04-19 14:03:31
150,GLinear,336,24,ETTh1,16,0.19016,0.42954,0.31399,8.91,0.0,2025-04-19 14:03:40
151,GLinear,336,24,ETTh1,16,0.19025,0.42943,0.31399,8.83,0.0,2025-04-19 14:03:48
152,GLinear,336,24,ETTh1,16,0.1903,0.42935,0.31399,8.99,0.0,2025-04-19 14:03:57
153,GLinear,336,24,ETTh1,16,0.1902,0.42937,0.31399,8.88,0.0,2025-04-19 14:04:06
154,GLinear,336,24,ETTh1,16,0.19024,0.42947,0.31399,9.18,0.0,2025-04-19 14:04:15
155,GLinear,336,24,ETTh1,16,0.19025,0.42848,0.31399,8.89,0.0,2025-04-19 14:04:24
156,GLinear,336,24,ETTh1,16,0.19033,0.42929,0.31399,8.66,0.0,2025-04-19 14:04:33
157,GLinear,336,24,ETTh1,16,0.19025,0.42884,0.31399,8.78,0.0,2025-04-19 14:04:42
158,GLinear,336,24,ETTh1,16,0.19032,0.42909,0.31399,8.91,0.0,2025-04-19 14:04:51
159,GLinear,336,24,ETTh1,16,0.19022,0.42927,0.31399,9.06,0.0,2025-04-19 14:05:00
160,GLinear,336,24,ETTh1,16,0.1903,0.42911,0.31399,8.9,0.0,2025-04-19 14:05:09
161,GLinear,336,24,ETTh1,16,0.19025,0.42952,0.31399,8.89,0.0,2025-04-19 14:05:18
162,GLinear,336,24,ETTh1,16,0.19026,0.429,0.31399,8.84,0.0,2025-04-19 14:05:26
163,GLinear,336,24,ETTh1,16,0.19022,0.4287,0.31399,9.11,0.0,2025-04-19 14:05:36
164,GLinear,336,24,ETTh1,16,0.19028,0.42936,0.31399,8.79,0.0,2025-04-19 14:05:44
165,GLinear,336,24,ETTh1,16,0.19025,0.42845,0.31399,8.68,0.0,2025-04-19 14:05:53
166,GLinear,336,24,ETTh1,16,0.1903,0.42933,0.31399,8.91,0.0,2025-04-19 14:06:02
167,GLinear,336,24,ETTh1,16,0.1902,0.42906,0.31399,8.92,0.0,2025-04-19 14:06:11
168,GLinear,336,24,ETTh1,16,0.1903,0.42944,0.31399,8.89,0.0,2025-04-19 14:06:20
169,GLinear,336,24,ETTh1,16,0.19024,0.42883,0.31399,8.92,0.0,2025-04-19 14:06:29
170,GLinear,336,24,ETTh1,16,0.19029,0.42954,0.31399,8.88,0.0,2025-04-19 14:06:38
171,GLinear,336,24,ETTh1,16,0.1903,0.42894,0.31399,8.79,0.0,2025-04-19 14:06:46
172,GLinear,336,24,ETTh1,16,0.19029,0.42948,0.31399,8.92,0.0,2025-04-19 14:06:55
173,GLinear,336,24,ETTh1,16,0.19027,0.42931,0.31399,8.88,0.0,2025-04-19 14:07:04
174,GLinear,336,24,ETTh1,16,0.1903,0.42923,0.31399,8.76,0.0,2025-04-19 14:07:13
175,GLinear,336,24,ETTh1,16,0.19026,0.42885,0.31399,8.83,0.0,2025-04-19 14:07:22
176,GLinear,336,24,ETTh1,16,0.19025,0.42904,0.31399,8.71,0.0,2025-04-19 14:07:30
177,GLinear,336,24,ETTh1,16,0.1902,0.42853,0.31399,8.8,0.0,2025-04-19 14:07:39
178,GLinear,336,24,ETTh1,16,0.19018,0.4293,0.31399,8.89,0.0,2025-04-19 14:07:48
179,GLinear,336,24,ETTh1,16,0.19024,0.42915,0.31399,9.0,0.0,2025-04-19 14:07:57
180,GLinear,336,24,ETTh1,16,0.19021,0.42896,0.31399,8.89,0.0,2025-04-19 14:08:06
181,GLinear,336,24,ETTh1,16,0.19019,0.42917,0.31399,8.95,0.0,2025-04-19 14:08:15
182,GLinear,336,24,ETTh1,16,0.19027,0.42919,0.31399,8.97,0.0,2025-04-19 14:08:24
183,GLinear,336,24,ETTh1,16,0.19022,0.42954,0.31399,8.66,0.0,2025-04-19 14:08:33
184,GLinear,336,24,ETTh1,16,0.1902,0.42856,0.31399,9.01,0.0,2025-04-19 14:08:42
185,GLinear,336,24,ETTh1,16,0.19031,0.42864,0.31399,8.83,0.0,2025-04-19 14:08:50
186,GLinear,336,24,ETTh1,16,0.19028,0.42965,0.31399,8.99,0.0,2025-04-19 14:08:59
187,GLinear,336,24,ETTh1,16,0.19033,0.42913,0.31399,9.01,0.0,2025-04-19 14:09:08
188,GLinear,336,24,ETTh1,16,0.19027,0.42916,0.31399,8.79,0.0,2025-04-19 14:09:17
189,GLinear,336,24,ETTh1,16,0.19018,0.42916,0.31399,8.77,0.0,2025-04-19 14:09:26
190,GLinear,336,24,ETTh1,16,0.1903,0.42937,0.31399,8.65,0.0,2025-04-19 14:09:35
191,GLinear,336,24,ETTh1,16,0.19029,0.4289,0.31399,9.08,0.0,2025-04-19 14:09:44
192,GLinear,336,24,ETTh1,16,0.19028,0.4291,0.31399,9.09,0.0,2025-04-19 14:09:53
193,GLinear,336,24,ETTh1,16,0.19026,0.42917,0.31399,8.79,0.0,2025-04-19 14:10:02
194,GLinear,336,24,ETTh1,16,0.19013,0.42902,0.31399,8.82,0.0,2025-04-19 14:10:10
195,GLinear,336,24,ETTh1,16,0.19025,0.42914,0.31399,8.92,0.0,2025-04-19 14:10:19
196,GLinear,336,24,ETTh1,16,0.19031,0.42963,0.31399,8.91,0.0,2025-04-19 14:10:28
197,GLinear,336,24,ETTh1,16,0.19027,0.42939,0.31399,8.86,0.0,2025-04-19 14:10:37
198,GLinear,336,24,ETTh1,16,0.19025,0.42921,0.31399,8.93,0.0,2025-04-19 14:10:46
199,GLinear,336,24,ETTh1,16,0.19031,0.42963,0.31399,8.99,0.0,2025-04-19 14:10:55
200,GLinear,336,24,ETTh1,16,0.19021,0.4285,0.31399,8.95,0.0,2025-04-19 14:11:04
201,GLinear,336,24,ETTh1,16,0.19029,0.42912,0.31399,8.85,0.0,2025-04-19 14:11:13
202,GLinear,336,24,ETTh1,16,0.19027,0.42919,0.31399,8.91,0.0,2025-04-19 14:11:22
203,GLinear,336,24,ETTh1,16,0.19026,0.42901,0.31399,8.87,0.0,2025-04-19 14:11:31
204,GLinear,336,24,ETTh1,16,0.19027,0.42812,0.31399,8.67,0.0,2025-04-19 14:11:39
205,GLinear,336,24,ETTh1,16,0.19033,0.42835,0.31399,8.98,0.0,2025-04-19 14:11:48
206,GLinear,336,24,ETTh1,16,0.19029,0.42961,0.31399,9.04,0.0,2025-04-19 14:11:57
207,GLinear,336,24,ETTh1,16,0.19024,0.42895,0.31399,8.71,0.0,2025-04-19 14:12:06
208,GLinear,336,24,ETTh1,16,0.19013,0.42968,0.31399,8.89,0.0,2025-04-19 14:12:15
209,GLinear,336,24,ETTh1,16,0.19033,0.42948,0.31399,8.92,0.0,2025-04-19 14:12:24
210,GLinear,336,24,ETTh1,16,0.19023,0.42893,0.31399,8.9,0.0,2025-04-19 14:12:33
